name,price,rating
Suites & Hôtel Helzear Montparnasse,3125.0,4.5
Hotel Gaston,2808.0,4.5
AC Hotel by Marriott Paris Porte Maillot,4471.0,4.0
Hotel Pilime,2633.0,4.0
The Peninsula Paris,26511.0,5.0
Hotel Mayfair Paris,8758.0,4.0
Residence Charles Floquet,17951.0,4.5
Hôtel Plaza Athénée,26413.0,5.0
Hotel Eden,8444.0,4.5
citizenM Paris Gare de Lyon,2828.0,4.5
Fred Hotel,4124.0,4.5
Maison Albar Hotels - Le Champs-Elysées,5341.0,4.5
Hotel Palais de Chaillot,3515.0,4.5
Suites & Hôtel Helzear Champs-Elysées,3515.0,4.5
25hours Hotel Terminus Nord,2633.0,4.5
Hotel Langlois,4006.0,4.5
Hotel Beauchamps,4490.0,4.0
Hotel du Prince Eugene,4104.0,4.5
Nadaud Hotel,2032.0,4.5
Hotel B55,4228.0,4.5
First Hotel,5872.0,4.0
Hotel Excelsior Opera,3456.0,4.0
The Lodge du Centre Hotel,3358.0,4.0
Hotel Paris Bastille,2592.0,4.0
Etoile Park Hotel,4949.0,4.0
Hotel de l'Esperance,2147.0,4.0
Citadines Bastille Marais Paris,4104.0,4.0
Le Fabe Hotel,4779.0,4.5
9HOTEL MONTPARNASSE,3339.0,4.5
Hotel Delambre,4011.0,4.5
Best Western Anjou Lafayette Opéra,2987.0,4.0
Grand Hotel Francais,3142.0,4.5
Hotel Le Clement,3800.0,4.5
La Maison Montparnasse,3053.0,4.5
Contact Hotel Alize Montmartre,3731.0,4.0
Melia Paris Champs Elysees,5210.0,4.0
Hotel Etoile Saint-Ferdinand by HappyCulture,3692.0,4.0
Hotel Doisy,4399.0,4.5
Villa Brunel,3339.0,4.0
